# Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2005-04-22T00:00:00.0/2005-04-23T00:00:00.0,9790.5059,7339.9082,6125.875,1214.0332,9925.46,7339.9082,6125.875,1214.0332,9925.46,0.9764
2005-04-23T00:00:00.0/2005-04-24T00:00:00.0,9848.7109,7140.3984,5605.5493,1534.849,8895.6963,5052.6191,2352.9043,2699.7146,3586.8733,0.9809
2005-04-24T00:00:00.0/2005-04-25T00:00:00.0,9906.1758,6949.9854,5190.6885,1759.2966,7988.3965,3131.8191,362.2207,2769.5984,455.3788,0.9799
2005-04-25T00:00:00.0/2005-04-26T00:00:00.0,9962.8262,6753.8623,4399.4854,2354.3767,6812.2769,4490.1621,1938.9034,2551.2585,3251.4631,0.9792
2005-04-26T00:00:00.0/2005-04-27T00:00:00.0,10018.7598,7465.2476,6181.3198,1283.9277,9891.0273,7465.2476,6181.3198,1283.9277,9891.0273,0.9726
2005-04-27T00:00:00.0/2005-04-28T00:00:00.0,10073.8281,7594.4863,6536.4927,1057.9937,10525.9834,7594.4863,6536.4927,1057.9937,10525.9834,0.9823
2005-04-28T00:00:00.0/2005-04-29T00:00:00.0,10128.1221,7342.2588,5951.4653,1390.7932,9434.5303,6891.2656,4872.1655,2019.1002,7656.7407,0.9812
2005-04-29T00:00:00.0/2005-04-30T00:00:00.0,10181.5537,6976.8892,4906.2368,2070.6521,7496.0239,4542.0776,1223.9824,3318.0952,1979.3727,0.9806
2005-04-30T00:00:00.0/2005-05-01T00:00:00.0,10234.1885,7168.751,5275.3691,1893.382,8083.8467,6918.9526,4694.0376,2224.915,7292.4307,0.959
2005-05-01T00:00:00.0/2005-05-02T00:00:00.0,10285.9443,7343.4194,5746.9204,1596.499,8897.1934,7258.4824,5575.5649,1682.9176,8598.1826,0.9788
2005-05-02T00:00:00.0/2005-05-03T00:00:00.0,10336.916,7561.6475,6189.8931,1371.7542,9666.7002,7470.9653,6013.5566,1457.4087,9340.0645,0.967
2005-05-03T00:00:00.0/2005-05-04T00:00:00.0,10386.9658,7339.2803,5479.9155,1859.3649,8363.3584,4285.9688,1497.656,2788.3127,2356.4749,0.9767
2005-05-04T00:00:00.0/2005-05-05T00:00:00.0,10436.1387,7401.5635,5509.0923,1892.4711,8354.0967,6261.5332,2929.1836,3332.3496,4844.2935,0.976
2005-05-05T00:00:00.0/2005-05-06T00:00:00.0,10484.4512,7289.1226,5136.7705,2152.3521,7740.0513,3906.7241,1871.5533,2035.1707,3044.4673,0.9646
2005-05-06T00:00:00.0/2005-05-07T00:00:00.0,10531.8359,7757.0674,6367.7324,1389.3351,9852.085,7511.6694,5804.1704,1707.4991,9085.5898,0.9795
2005-05-07T00:00:00.0/2005-05-08T00:00:00.0,10578.3066,7812.895,6509.2012,1303.6938,10176.0547,7789.5986,6458.2705,1331.3279,10059.2432,0.9788
2005-05-08T00:00:00.0/2005-05-09T00:00:00.0,10623.9316,7721.2104,6200.9482,1520.2623,9622.8896,5990.917,3504.3027,2486.6145,5632.1187,0.9774
2005-05-09T00:00:00.0/2005-05-10T00:00:00.0,10668.5713,7572.6123,5704.8438,1867.7686,8556.0244,4545.2471,1801.0198,2744.2273,3337.2622,0.9771
2005-05-10T00:00:00.0/2005-05-11T00:00:00.0,10712.2686,7198.5117,4746.1597,2452.3516,7004.3896,2140.531,233.055,1907.4761,317.377,0.976
2005-05-11T00:00:00.0/2005-05-12T00:00:00.0,10755.0146,7261.3633,4810.3521,2451.0112,7162.6504,1364.8867,86.2825,1278.6042,332.4001,0.9806
2005-05-12T00:00:00.0/2005-05-13T00:00:00.0,10796.8027,8056.5771,6801.3906,1255.1863,10539.4648,7531.8237,5386.7085,2145.1152,8635.2754,0.9799
2005-05-13T00:00:00.0/2005-05-14T00:00:00.0,10837.6582,7564.0005,5510.2271,2053.7737,8229.2979,6292.2773,3612.186,2680.0911,5172.915,0.9788
2005-05-14T00:00:00.0/2005-05-15T00:00:00.0,10877.5117,6863.9927,3818.6162,3045.3767,5566.0068,4345.9731,1173.0331,3172.9402,1783.9908,0.9781
2005-05-15T00:00:00.0/2005-05-16T00:00:00.0,10916.3828,7560.6084,5305.5615,2255.0466,7828.4395,5777.1372,3118.542,2658.595,4521.4023,0.967
2005-05-16T00:00:00.0/2005-05-17T00:00:00.0,10954.2979,7932.2856,6174.6113,1757.6743,9234.6924,6966.6055,3887.884,3078.7214,5857.2026,0.9764
2005-05-17T00:00:00.0/2005-05-18T00:00:00.0,10991.1846,7160.5366,4347.5166,2813.0198,6231.7373,2123.645,331.1563,1792.4886,369.7594,0.9757
2005-05-18T00:00:00.0/2005-05-19T00:00:00.0,11027.0664,7864.1147,6006.0767,1858.0385,8771.1562,4904.8579,2234.1125,2670.7454,3572.0396,0.9698
2005-05-19T00:00:00.0/2005-05-20T00:00:00.0,11061.9365,8233.7861,7034.73,1199.0565,10697.6592,8148.9092,6894.2998,1254.6096,10298.6885,0.9743
2005-05-20T00:00:00.0/2005-05-21T00:00:00.0,11095.7881,8104.1416,6452.0249,1652.1163,9673.2471,7977.8501,6189.7495,1788.101,9141.5225,0.9792
2005-05-21T00:00:00.0/2005-05-22T00:00:00.0,11128.6143,7959.0244,6193.6646,1765.3595,9214.7354,7766.5366,5753.7749,2012.7615,8486.7891,0.9729
2005-05-22T00:00:00.0/2005-05-23T00:00:00.0,11160.3799,7866.4204,5970.5088,1895.9114,8741.7148,6586.1899,3495.3618,3090.8284,4760.3438,0.9674
2005-05-23T00:00:00.0/2005-05-24T00:00:00.0,11191.1465,7846.9458,5694.2173,2152.7283,8426.543,5210.9658,3171.0078,2039.9579,4310.6694,0.9771
2005-05-24T00:00:00.0/2005-05-25T00:00:00.0,11220.8691,8031.8564,6193.9258,1837.9307,9212.2861,7521.939,5505.666,2016.2731,7903.9272,0.9764
2005-05-25T00:00:00.0/2005-05-26T00:00:00.0,11249.543,8273.9189,6804.3413,1469.578,10202.6982,8213.209,6672.2153,1540.994,10035.2305,0.9757
2005-05-26T00:00:00.0/2005-05-27T00:00:00.0,11277.1602,8397.8779,6999.7104,1398.1671,10541.7129,8397.8779,6999.7104,1398.1671,10541.7129,0.9802
2005-05-27T00:00:00.0/2005-05-28T00:00:00.0,11303.6914,8269.874,6767.6685,1502.2054,10182.4678,8269.874,6767.6685,1502.2054,10182.4678,0.9799
2005-05-28T00:00:00.0/2005-05-29T00:00:00.0,11329.166,8270.7695,6719.6255,1551.1434,10080.7041,8270.7695,6719.6255,1551.1434,10080.7041,0.9795
2005-05-29T00:00:00.0/2005-05-30T00:00:00.0,11353.5967,8178.6899,6479.188,1699.502,9705.6631,8178.6899,6479.188,1699.502,9705.6631,0.9267
2005-05-30T00:00:00.0/2005-05-31T00:00:00.0,11376.9277,8189.5635,6518.4985,1671.0648,9695.7969,8170.9458,6493.8364,1677.1096,9506.0576,0.9785
2005-05-31T00:00:00.0/2005-06-01T00:00:00.0,11399.208,8104.9585,6222.6714,1882.2867,9106.0195,7987.8804,6050.6846,1937.1957,8722.5166,0.9778
2005-06-01T00:00:00.0/2005-06-02T00:00:00.0,11420.3691,7613.8423,4991.2837,2622.5583,7096.1279,6254.5684,3141.5901,3112.978,4009.1257,0.9726
2005-06-02T00:00:00.0/2005-06-03T00:00:00.0,11440.4746,7965.1543,5819.7529,2145.4014,8459.2617,7780.541,5533.5986,2246.9424,7742.5396,0.9767
2005-06-03T00:00:00.0/2005-06-04T00:00:00.0,11459.4307,8091.1562,6147.8779,1943.2786,8945.9424,8045.6631,6048.6665,1996.9965,8823.4473,0.9767
2005-06-04T00:00:00.0/2005-06-05T00:00:00.0,11477.3486,8012.6694,5886.0127,2126.657,8523.8555,6505.0361,2844.1145,3660.9214,4611.1152,0.976
2005-06-05T00:00:00.0/2005-06-06T00:00:00.0,11494.1318,7895.27,5628.6357,2266.6345,8092.7983,5352.8174,1671.4591,3681.3582,2646.8628,0.9757
2005-06-06T00:00:00.0/2005-06-07T00:00:00.0,11509.7969,7445.2627,4487.8159,2957.4468,6386.9766,3335.3328,821.2452,2514.0874,1554.8282,0.9753
